1, ocean, minecraft:ocean, MONSTER, minecraft:spider, 80, 4, 4
2, ocean, minecraft:ocean, MONSTER, minecraft:zombie, 80, 4, 4
3, ocean, minecraft:ocean, MONSTER, minecraft:zombie_villager, 10, 1, 1
4, ocean, minecraft:ocean, MONSTER, minecraft:skeleton, 80, 4, 4
5, ocean, minecraft:ocean, MONSTER, minecraft:creeper, 80, 4, 4
6, ocean, minecraft:ocean, MONSTER, minecraft:slime, 80, 4, 4
7, ocean, minecraft:ocean, MONSTER, minecraft:enderman, 5, 1, 4
8, ocean, minecraft:ocean, MONSTER, minecraft:witch, 5, 1, 1
9, ocean, minecraft:ocean, MONSTER, minecraft:drowned, 10, 1, 1
10, ocean, minecraft:ocean, MONSTER, dungeons_mobs:wraith, 10, 1, 1
11, ocean, minecraft:ocean, MONSTER, dungeons_mobs:skeleton_horseman, 10, 1, 1
12, ocean, minecraft:ocean, MONSTER, dungeons_mobs:sunken_skeleton, 10, 1, 1
13, ocean, minecraft:ocean, MONSTER, dungeons_mobs:sunken_skeleton, 10, 1, 1
14, ocean, minecraft:ocean, MONSTER, dungeons_mobs:wavewhisperer, 10, 1, 1
15, ocean, minecraft:ocean, MONSTER, dungeons_mobs:quick_growing_anemone, 10, 1, 1
16, ocean, minecraft:ocean, MONSTER, dungeons_mobs:poison_anemone, 10, 1, 1
17, ocean, minecraft:ocean, MONSTER, geode:redstonegeode, 30, 1, 1
18, ocean, minecraft:ocean, MONSTER, geode:quartzgeode, 45, 1, 1
19, ocean, minecraft:ocean, MONSTER, geode:lapisgeode, 35, 1, 1
20, ocean, minecraft:ocean, MONSTER, geode:irongeode, 40, 1, 1
21, ocean, minecraft:ocean, MONSTER, geode:goldgeode, 35, 1, 1
22, ocean, minecraft:ocean, MONSTER, geode:glowstonegeode, 45, 1, 1
23, ocean, minecraft:ocean, MONSTER, geode:emeraldgeode, 45, 1, 1
24, ocean, minecraft:ocean, MONSTER, geode:diamondgeode, 25, 1, 1
25, ocean, minecraft:ocean, MONSTER, geode:coalgeode, 50, 1, 1
26, ocean, minecraft:ocean, MONSTER, mowziesmobs:grottol, 10, 1, 1
27, ocean, minecraft:ocean, MONSTER, dungeons_mobs:armored_zombie, 10, 4, 4
28, ocean, minecraft:ocean, MONSTER, dungeons_mobs:armored_skeleton, 10, 4, 4
29, ocean, minecraft:ocean, MONSTER, dungeons_mobs:armored_drowned, 10, 1, 1
30, ocean, minecraft:ocean, MONSTER, dungeons_mobs:armored_sunken_skeleton, 10, 1, 1
31, ocean, minecraft:ocean, MONSTER, dungeons_mobs:armored_sunken_skeleton, 10, 1, 1
32, ocean, minecraft:ocean, MONSTER, ars_nouveau:wilden_stalker, 50, 3, 3
33, ocean, minecraft:ocean, MONSTER, ars_nouveau:wilden_hunter, 30, 1, 1
34, ocean, minecraft:ocean, CREATURE, ars_nouveau:drygmy, 10, 1, 1
35, ocean, minecraft:ocean, AMBIENT, minecraft:bat, 10, 8, 8
36, ocean, minecraft:ocean, AMBIENT, megameteors:falling_meteor_spawner_entity, 10, 1, 1
37, ocean, minecraft:ocean, WATER_CREATURE, minecraft:squid, 10, 1, 4
38, ocean, minecraft:ocean, WATER_CREATURE, minecraft:dolphin, 10, 1, 2
39, ocean, minecraft:ocean, WATER_CREATURE, abyssaldepths:sailfish, 10, 1, 5
40, ocean, minecraft:ocean, WATER_CREATURE, abyssaldepths:sea_serpent, 10, 1, 1
41, ocean, minecraft:ocean, WATER_CREATURE, abyssaldepths:seahorse, 10, 1, 3
42, ocean, minecraft:ocean, WATER_CREATURE, abyssaldepths:swordfish, 10, 1, 4
43, ocean, minecraft:ocean, WATER_CREATURE, upgrade_aquatic:glow_squid, 10, 1, 1
44, ocean, minecraft:ocean, WATER_CREATURE, betteranimalsplus:shark, 10, 1, 3
45, ocean, minecraft:ocean, WATER_CREATURE, betteranimalsplus:whale, 10, 1, 3
46, ocean, minecraft:ocean, WATER_AMBIENT, minecraft:cod, 10, 3, 6
47, ocean, minecraft:ocean, WATER_AMBIENT, abyssaldepths:blackcap_basslet, 10, 1, 4
48, ocean, minecraft:ocean, WATER_AMBIENT, abyssaldepths:butterflyfish, 10, 2, 5
49, ocean, minecraft:ocean, WATER_AMBIENT, abyssaldepths:clownfish, 10, 2, 3
50, ocean, minecraft:ocean, WATER_AMBIENT, abyssaldepths:fish, 10, 3, 5
51, ocean, minecraft:ocean, WATER_AMBIENT, abyssaldepths:fairy_basslet, 10, 1, 4
52, ocean, minecraft:ocean, WATER_AMBIENT, abyssaldepths:masked_butterflyfish, 10, 2, 5
53, ocean, minecraft:ocean, WATER_AMBIENT, abyssaldepths:raccoon_butterflyfish, 10, 3, 5
54, ocean, minecraft:ocean, WATER_AMBIENT, betteranimalsplus:bobbit_worm, 10, 1, 1
55, ocean, minecraft:ocean, WATER_AMBIENT, betteranimalsplus:jellyfish, 10, 1, 5
56, ocean, minecraft:ocean, WATER_AMBIENT, betteranimalsplus:nautilus, 10, 1, 1
57, ocean, minecraft:ocean, WATER_AMBIENT, betteranimalsplus:eel_saltwater, 10, 1, 3
58, plains, minecraft:plains, MONSTER, minecraft:spider, 80, 4, 4
59, plains, minecraft:plains, MONSTER, minecraft:zombie, 80, 4, 4
60, plains, minecraft:plains, MONSTER, minecraft:zombie_villager, 10, 1, 1
61, plains, minecraft:plains, MONSTER, minecraft:skeleton, 80, 4, 4
62, plains, minecraft:plains, MONSTER, minecraft:creeper, 80, 4, 4
63, plains, minecraft:plains, MONSTER, minecraft:slime, 80, 4, 4
64, plains, minecraft:plains, MONSTER, minecraft:enderman, 5, 1, 4
